0	3.0788E-7
1	3.3550999999999996E-7
2	3.5738999999999995E-7
3	3.8265999999999996E-7
4	3.5738999999999995E-7
5	3.8502E-7
6	4.0689999999999997E-7
7	4.2980999999999996E-7
8	3.5739E-7
9	3.8502E-7
10	4.0689999999999997E-7
11	4.3217E-7
12	4.0689999999999997E-7
13	4.3453E-7
14	4.5641E-7
15	4.7696E-7
16	3.5739E-7
17	3.8502E-7
18	4.0689999999999997E-7
19	4.3217E-7
20	4.0689999999999997E-7
21	4.3453E-7
22	4.5641E-7
23	4.793199999999999E-7
24	4.069E-7
25	4.3453E-7
26	4.5641E-7
27	4.816800000000001E-7
28	4.5641E-7
29	4.8404E-7
30	5.0592E-7
31	4.9648E-7
32	3.7726E-7
33	3.8504999999999997E-7
34	4.0466999999999993E-7
35	3.6426999999999997E-7
36	4.2677E-7
37	4.3219999999999997E-7
38	4.5182E-7
39	4.1142E-7
40	4.2677E-7
41	4.3456E-7
42	4.5417999999999995E-7
43	4.1378E-7
44	4.7628000000000003E-7
45	4.7935E-7
46	4.9897E-7
47	4.5857000000000006E-7
48	4.2677E-7
49	4.3456E-7
50	4.5417999999999995E-7
51	4.1378E-7
52	4.7628000000000003E-7
53	4.8171E-7
54	5.0133E-7
55	4.6093000000000004E-7
56	4.7628000000000003E-7
57	4.8407E-7
58	5.0369E-7
59	4.6329E-7
60	5.2579E-7
61	4.9887E-7
62	5.1849E-7
63	4.780900000000001E-7
64	3.7726E-7
65	4.0488999999999997E-7
66	4.2677E-7
67	4.3219999999999997E-7
68	4.0466999999999993E-7
69	4.3229999999999997E-7
70	4.5418E-7
71	4.1142E-7
72	4.2677E-7
73	4.544E-7
74	4.7628000000000003E-7
75	4.7935E-7
76	4.5182E-7
77	4.7945E-7
78	5.013300000000001E-7
79	4.5857000000000006E-7
80	4.2677E-7
81	4.544E-7
82	4.7628000000000003E-7
83	4.8171E-7
84	4.5417999999999995E-7
85	4.8181E-7
86	5.036900000000001E-7
87	4.6093000000000004E-7
88	4.7628000000000003E-7
89	5.0391E-7
90	5.2579E-7
91	4.9887E-7
92	4.7134E-7
93	4.9897E-7
94	5.208500000000001E-7
95	4.780900000000001E-7
96	4.4664E-7
97	4.3459E-7
98	4.5421E-7
99	4.1381E-7
100	4.7405000000000004E-7
101	4.1381E-7
102	4.3342999999999993E-7
103	3.9302999999999997E-7
104	4.9615E-7
105	4.8174E-7
106	5.0136E-7
107	4.6096000000000007E-7
